iter	Logloss
0	0.6482034819
1	0.6049525692
2	0.5694692007
3	0.5413818652
4	0.5149679663
5	0.4920284796
6	0.4741555591
7	0.4582869889
8	0.4433312268
9	0.4292902915
10	0.4177144328
11	0.4071990406
12	0.3994235911
13	0.3921814873
14	0.3843968686
15	0.3786672939
16	0.3728652322
17	0.3679332732
18	0.3641951719
19	0.3604393664
20	0.3574683051
21	0.3543532316
22	0.3512388607
23	0.3497346961
24	0.3474750268
25	0.3457700485
26	0.3439981693
27	0.3425842953
28	0.3413022724
29	0.3393647387
30	0.3378679819
31	0.336452583
32	0.3353738188
33	0.3347256956
34	0.3334763522
35	0.3320916926
36	0.331463974
37	0.3303146395
38	0.3301311954
39	0.3294065065
40	0.3286121899
41	0.3282648546
42	0.3274518352
43	0.3271873924
44	0.3261665945
45	0.3258553351
46	0.3252029144
47	0.324645929
48	0.3235353926
49	0.3232104442
50	0.322996915
51	0.321962385
52	0.3214915721
53	0.3209204164
54	0.3205320956
55	0.3203596103
56	0.3202987157
57	0.3198655234
58	0.3193732599
59	0.3188586383
60	0.3185292409
61	0.3182700411
62	0.3177584995
63	0.3175014734
64	0.317284226
65	0.3169939205
66	0.3163421422
67	0.3162157653
68	0.3158117696
69	0.3153318111
70	0.3148620898
71	0.3144973769
72	0.3138137309
73	0.3136920835
74	0.3134096978
75	0.3131765832
76	0.312726152
77	0.312682247
78	0.3124682008
79	0.3121387628
80	0.3120298933
81	0.3119390043
82	0.3111849661
83	0.310410102
84	0.3103770283
85	0.3102884589
86	0.3096265839
87	0.3095910729
88	0.3095458283
89	0.3095081119
90	0.3083760226
91	0.3082797769
92	0.3080477327
93	0.3073688169
94	0.3068796667
95	0.3067996391
96	0.306730161
97	0.3066495195
98	0.3066120137
99	0.3065797726
