iter	Passed	Remaining
0	5	496
1	5	257
2	5	186
3	5	140
4	5	113
5	6	95
6	6	82
7	6	72
8	6	67
9	6	61
10	6	56
11	7	52
12	7	48
13	7	45
14	7	42
15	7	40
16	7	38
17	7	36
18	8	34
19	8	34
20	8	33
21	9	32
22	9	31
23	9	30
24	10	30
25	10	29
26	10	28
27	10	27
28	11	26
29	11	26
30	11	25
31	11	24
32	11	23
33	11	22
34	11	22
35	11	21
36	12	20
37	12	20
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	13	16
44	13	16
45	13	15
46	13	15
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	12
53	14	12
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	15	10
61	15	9
62	16	9
63	16	9
64	16	8
65	16	8
66	16	8
67	16	7
68	16	7
69	16	7
70	17	6
71	17	6
72	17	6
73	17	6
74	17	5
75	17	5
76	18	5
77	18	5
78	18	4
79	18	4
80	18	4
81	18	4
82	18	3
83	19	3
84	19	3
85	19	3
86	19	2
87	19	2
88	19	2
89	19	2
90	20	2
91	20	1
92	20	1
93	20	1
94	21	1
95	21	0
96	22	0
97	22	0
98	22	0
99	23	0
