iter	Passed	Remaining
0	60	12097
1	61	6103
2	63	4144
3	63	3103
4	64	2501
5	64	2100
6	66	1834
7	67	1617
8	68	1449
9	69	1312
10	69	1199
11	71	1116
12	72	1035
13	73	976
14	74	915
15	74	862
16	75	815
17	76	773
18	77	735
19	78	702
20	78	666
21	78	639
22	79	613
23	80	590
24	81	569
25	82	551
26	83	534
27	84	517
28	84	500
29	85	485
30	86	470
31	87	456
32	87	444
33	88	432
34	89	420
35	90	410
36	90	399
37	91	391
38	92	382
39	93	373
40	94	364
41	94	356
42	95	348
43	96	341
44	97	334
45	97	327
46	98	320
47	99	314
48	100	308
49	100	302
50	101	296
51	102	291
52	103	285
53	103	280
54	104	275
55	105	270
56	106	266
57	107	262
58	107	257
59	108	253
60	109	248
61	109	244
62	110	240
63	111	236
64	112	232
65	112	229
66	113	225
67	114	222
68	115	218
69	115	215
70	116	211
71	117	208
72	117	205
73	118	202
74	119	199
75	120	196
76	120	193
77	121	190
78	122	187
79	123	184
80	123	182
81	124	179
82	125	176
83	126	174
84	126	171
85	127	169
86	128	166
87	128	164
88	130	162
89	131	160
90	132	158
91	132	155
92	133	153
93	134	151
94	134	149
95	135	147
96	136	145
97	137	142
98	138	140
99	138	138
100	139	136
101	140	134
102	140	132
103	141	130
104	142	128
105	142	126
106	143	124
107	144	123
108	145	121
109	145	119
110	146	117
111	147	115
112	148	114
113	148	112
114	149	110
115	150	108
116	151	107
117	151	105
118	152	103
119	153	102
120	153	100
121	154	98
122	155	97
123	156	95
124	156	94
125	157	92
126	158	91
127	159	89
128	160	88
129	160	86
130	161	85
131	162	83
132	163	82
133	163	80
134	164	79
135	165	77
136	165	76
137	166	74
138	167	73
139	168	72
140	168	70
141	169	69
142	170	67
143	170	66
144	171	65
145	172	63
146	173	62
147	173	61
148	174	59
149	175	58
150	175	57
151	176	55
152	177	54
153	178	53
154	178	51
155	179	50
156	180	49
157	180	48
158	181	46
159	182	45
160	183	44
161	184	43
162	184	41
163	185	40
164	186	39
165	187	38
166	187	37
167	188	35
168	189	34
169	190	33
170	191	32
171	191	31
172	192	30
173	193	28
174	194	27
175	195	26
176	195	25
177	196	24
178	197	23
179	198	22
180	199	20
181	200	19
182	200	18
183	201	17
184	202	16
185	202	15
186	203	14
187	204	13
188	205	11
189	206	10
190	206	9
191	207	8
192	208	7
193	208	6
194	209	5
195	210	4
196	211	3
197	211	2
198	212	1
199	213	0
