iter	Passed	Remaining
0	0	124
1	1	139
2	2	137
3	2	111
4	2	115
5	3	118
6	4	121
7	5	122
8	5	123
9	6	125
10	7	125
11	7	125
12	8	125
13	9	124
14	10	124
15	10	124
16	11	124
17	12	124
18	13	123
19	13	123
20	13	118
21	14	117
22	15	117
23	15	117
24	16	116
25	17	116
26	18	116
27	18	115
28	19	115
29	20	114
30	21	114
31	21	114
32	22	113
33	23	113
34	23	112
35	24	112
36	25	111
37	26	111
38	26	110
39	27	109
40	28	109
41	28	108
42	29	107
43	30	107
44	31	106
45	31	106
46	32	105
47	33	105
48	33	104
49	34	103
50	35	103
51	36	102
52	36	101
53	37	101
54	38	100
55	38	99
56	39	99
57	40	98
58	40	97
59	41	97
60	42	96
61	43	96
62	43	95
63	44	94
64	45	94
65	46	93
66	46	92
67	47	92
68	48	91
69	48	90
70	49	89
71	50	89
72	50	88
73	51	87
74	52	87
75	53	86
76	53	85
77	54	85
78	55	84
79	55	83
80	56	83
81	57	82
82	58	81
83	58	81
84	59	80
85	60	79
86	60	79
87	61	78
88	62	77
89	62	76
90	63	76
91	64	75
92	65	74
93	65	74
94	66	73
95	67	72
96	67	72
97	68	71
98	69	70
99	69	69
100	70	69
101	71	68
102	72	67
103	72	67
104	73	66
105	74	65
106	75	65
107	75	64
108	76	63
109	77	63
110	78	62
111	78	61
112	79	61
113	80	60
114	80	59
115	81	59
116	82	58
117	82	57
118	83	56
119	84	56
120	85	55
121	85	54
122	86	54
123	87	53
124	88	52
125	88	52
126	89	51
127	90	50
128	90	50
129	91	49
130	92	48
131	93	47
132	93	47
133	94	46
134	95	45
135	95	45
136	96	44
137	97	43
138	97	42
139	98	42
140	99	41
141	100	40
142	100	40
143	101	39
144	102	38
145	102	38
146	103	37
147	104	36
148	105	35
149	105	35
150	106	34
151	107	33
152	107	33
153	108	32
154	109	31
155	109	31
156	110	30
157	111	29
158	112	28
159	112	28
160	113	27
161	114	26
162	114	26
163	115	25
164	116	24
165	116	23
166	117	23
167	118	22
168	119	21
169	119	21
170	120	20
171	121	19
172	121	19
173	122	18
174	123	17
175	124	16
176	124	16
177	125	15
178	126	14
179	126	14
180	127	13
181	128	12
182	129	11
183	129	11
184	130	10
185	131	9
186	131	9
187	132	8
188	133	7
189	133	7
190	134	6
191	135	5
192	136	4
193	136	4
194	137	3
195	138	2
196	138	2
197	139	1
198	140	0
199	140	0
