Model,Accuracy,Precision,Recall,F1,ROC_AUC,Improvement (%)
Stacking (Ridge Meta-Learner),0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529,,1.48
Hard Voting (All Models),0.9068627450980392,0.9108910891089109,0.9019607843137255,0.9064039408866995,,0.99
Stacking (Diverse Base Models),0.9068627450980392,0.9029126213592233,0.9117647058823529,0.9073170731707317,0.9530949634755863,0.99
Weighted Voting (Custom Optimized),0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9501153402537486,0.5
Stacking (LogReg Meta-Learner),0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.953287197231834,0.5
Weighted Voting (Inverse Error),0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.948481353325644,0.5
Hard Voting (Top 4 Tree Models),0.8970588235294118,0.9090909090909091,0.8823529411764706,0.8955223880597015,,0.01
Soft Voting (All Models),0.8970588235294118,0.8932038834951457,0.9019607843137255,0.8975609756097561,0.9432910419069588,0.01
Weighted Voting (Performance-Based),0.8970588235294118,0.8932038834951457,0.9019607843137255,0.8975609756097561,0.9469434832756632,0.01
Baseline (Random Forest),0.897,0.903,0.912,0.907,0.94,0.0
Soft Voting (Diverse Models),0.8921568627450981,0.9,0.8823529411764706,0.8910891089108911,0.946559015763168,-0.48
Hard Voting (Diverse Models),0.8921568627450981,0.9,0.8823529411764706,0.8910891089108911,,-0.48
Bagging (XGBoost Base),0.8921568627450981,0.9,0.8823529411764706,0.8910891089108911,0.9507881584006151,-0.48
Blending Ensemble,0.8872549019607843,0.883495145631068,0.8921568627450981,0.8878048780487805,0.9400230680507498,-0.97
Stacking (LGBM Meta-Learner),0.8774509803921569,0.9230769230769231,0.8235294117647058,0.8704663212435233,0.9460784313725491,-1.95
Stacking (XGB Meta-Learner),0.8774509803921569,0.9052631578947369,0.8431372549019608,0.8730964467005076,0.9466070742022299,-1.95
Soft Voting (Boosting Variants),0.8725490196078431,0.88,0.8627450980392157,0.8712871287128713,0.9474240676662822,-2.45
Stacking (Boosting Base Models),0.8676470588235294,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.947039600153787,-2.94
Meta-Boosting (Feature Augmentation),0.8627450980392157,0.9111111111111111,0.803921568627451,0.8541666666666666,0.8627450980392158,-3.43
